month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
1/1/2020,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,73,New Generation,1976,55 years 07 months,265000
1/1/2020,ANG MO KIO,3 ROOM,307C,ANG MO KIO AVE 1,19 TO 21,70,Model A,2012,91 years 08 months,470000
1/1/2020,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,01 TO 03,73,New Generation,1977,56 years 04 months,230000
1/1/2020,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,04 TO 06,73,New Generation,1976,55 years 03 months,280000
1/1/2020,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,59 years 01 month,220000
1/1/2020,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,10 TO 12,68,New Generation,1980,59 years 01 month,280000
1/1/2020,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1980,59 years 01 month,240000
1/1/2020,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,04 TO 06,82,New Generation,1980,59 years 02 months,301000
1/1/2020,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,58 years 07 months,255000
1/1/2020,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,58 years 07 months,233000
1/1/2020,ANG MO KIO,3 ROOM,578,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1980,59 years,250000
1/1/2020,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,58 years 07 months,245000
1/1/2020,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,58 years 07 months,255000
1/1/2020,ANG MO KIO,3 ROOM,435,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,58 years,288000
1/1/2020,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,58 years 07 months,235000
1/1/2020,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1984,63 years 08 months,268000
1/1/2020,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,58 years 05 months,240000
1/1/2020,ANG MO KIO,3 ROOM,345,ANG MO KIO AVE 3,04 TO 06,88,New Generation,1978,57 years 04 months,320000
1/1/2020,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,59 years 01 month,220000
1/1/2020,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,04 TO 06,73,New Generation,1976,55 years 03 months,280000
1/1/2020,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1976,55 years 03 months,250000
